更新时间: 2025-12-23 11:46:34（北京时间）

更新时间,#genre#
2025-12-23 11:46:34,https://gitee.com/goldenwuhan/tv/raw/master/3D.mp4

央视频道,#genre#
CCTV6,http://61.159.134.134:18000/rtp/238.255.2.135:5999$贵州电信
CCTV6,http://121.56.186.21:4022/rtp/239.29.1.135:5000$内蒙古电信
CCTV6,http://113.120.108.164:4000/rtp/239.21.2.47:5002$山东电信
CCTV6,http://123.155.19.237:8888/rtp/233.50.200.109:5140$浙江电信
CCTV6,http://116.233.63.135:5555/udp/239.45.1.70:5140$上海市电信
CCTV6,http://117.88.187.92:8888/rtp/239.49.8.76:8000$江苏电信
CCTV6,http://106.87.49.107:8888/rtp/235.254.198.55:1496$重庆市电信
CCTV6,http://112.254.55.106:22222/udp/239.253.254.193:8000$山东联通
CCTV6,http://122.234.155.78:55555/rtp/233.50.200.109:5140$浙江电信
CCTV6,http://113.25.107.189:10000/rtp/239.1.1.13:8013$山西电信
CCTV7,http://125.80.158.137:7788/rtp/235.254.198.56:1500$重庆市电信
CCTV7,http://61.159.134.134:18000/rtp/238.255.2.12:5999$贵州电信
CCTV7,http://121.56.186.21:4022/rtp/239.29.0.117:5000$内蒙古电信
CCTV7,http://113.120.108.164:4000/rtp/239.21.1.152:5002$山东电信
CCTV7,http://123.155.19.237:8888/rtp/233.50.200.102:5140$浙江电信
CCTV7,http://116.233.63.135:5555/udp/239.45.3.56:5140$上海市电信
CCTV7,http://117.88.187.92:8888/rtp/239.49.0.126:8000$江苏电信
CCTV7,http://106.87.49.107:8888/rtp/235.254.198.56:1500$重庆市电信
CCTV7,http://112.254.55.106:22222/udp/239.253.254.233:8000$山东联通
CCTV7,http://122.234.155.78:55555/rtp/233.50.200.102:5140$浙江电信
CCTV7,http://113.25.107.189:10000/rtp/239.1.1.14:8014$山西电信
CCTV8,http://125.80.158.137:7788/rtp/235.254.198.57:1504$重庆市电信
CCTV8,http://61.159.134.134:18000/rtp/238.255.2.136:5999$贵州电信
CCTV8,http://121.56.186.21:4022/rtp/239.29.1.136:5000$内蒙古电信
CCTV8,http://113.120.108.164:4000/rtp/239.21.2.48:5002$山东电信
CCTV8,http://123.155.19.237:8888/rtp/233.50.201.116:5140$浙江电信
CCTV8,http://116.233.63.135:5555/udp/239.45.1.71:5140$上海市电信
CCTV8,http://117.88.187.92:8888/rtp/239.49.8.77:8000$江苏电信
CCTV8,http://106.87.49.107:8888/rtp/235.254.198.57:1504$重庆市电信
CCTV8,http://112.254.55.106:22222/udp/239.253.254.194:8000$山东联通
CCTV8,http://122.234.155.78:55555/rtp/233.50.201.116:5140$浙江电信
CCTV8,http://113.25.107.189:10000/rtp/239.1.1.15:8015$山西电信
CCTV9,http://125.80.158.137:7788/rtp/235.254.198.58:1508$重庆市电信
CCTV9,http://61.159.134.134:18000/rtp/238.255.2.155:5999$贵州电信
CCTV9,http://121.56.186.21:4022/rtp/239.29.0.118:5000$内蒙古电信
CCTV9,http://113.120.108.164:4000/rtp/239.21.1.153:5002$山东电信
CCTV9,http://123.155.19.237:8888/rtp/233.50.200.23:5140$浙江电信
CCTV9,http://116.233.63.135:5555/udp/239.45.3.4:5140$上海市电信
CCTV9,http://117.88.187.92:8888/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://106.87.49.107:8888/rtp/235.254.198.58:1508$重庆市电信
CCTV9,http://112.254.55.106:22222/udp/239.253.254.79:8000$山东联通
CCTV9,http://122.234.155.78:55555/rtp/233.50.200.23:5140$浙江电信
CCTV9,http://113.25.107.189:10000/rtp/239.1.1.16:8016$山西电信
CCTV10,http://125.80.158.137:7788/rtp/235.254.198.59:1512$重庆市电信
CCTV10,http://61.159.134.134:18000/rtp/238.255.2.13:5999$贵州电信
CCTV10,http://121.56.186.21:4022/rtp/239.29.0.119:5000$内蒙古电信
CCTV10,http://113.120.108.164:4000/rtp/239.21.1.155:5002$山东电信
CCTV10,http://123.155.19.237:8888/rtp/233.50.200.22:5140$浙江电信
CCTV10,http://116.233.63.135:5555/udp/239.45.3.8:5140$上海市电信
CCTV10,http://117.88.187.92:8888/rtp/239.49.8.54:9818$江苏电信
CCTV10,http://106.87.49.107:8888/rtp/235.254.198.59:1512$重庆市电信
CCTV10,http://112.254.55.106:22222/udp/239.253.254.234:8000$山东联通
CCTV10,http://122.234.155.78:55555/rtp/233.50.200.22:5140$浙江电信
CCTV10,http://113.25.107.189:10000/rtp/239.1.1.17:8017$山西电信
CCTV11,http://125.80.158.137:7788/rtp/235.254.198.7:1304$重庆市电信
CCTV11,http://61.159.134.134:18000/rtp/238.255.2.14:5999$贵州电信
CCTV11,http://121.56.186.21:4022/rtp/239.29.0.205:5000$内蒙古电信
CCTV11,http://113.120.108.164:4000/rtp/239.21.2.2:5002$山东电信
CCTV11,http://123.155.19.237:8888/rtp/233.50.200.132:5140$浙江电信
CCTV11,http://116.233.63.135:5555/udp/239.45.0.18:5140$上海市电信
CCTV11,http://117.88.187.92:8888/rtp/239.49.0.127:8000$江苏电信
CCTV11,http://106.87.49.107:8888/rtp/235.254.198.7:1304$重庆市电信
CCTV11,http://112.254.55.106:22222/udp/239.253.254.169:8000$山东联通
CCTV11,http://122.234.155.78:55555/rtp/233.50.200.132:5140$浙江电信
CCTV11,http://113.25.107.189:10000/rtp/239.1.1.18:8018$山西电信
CCTV12,http://125.80.158.137:7788/rtp/235.254.198.60:1516$重庆市电信
CCTV12,http://61.159.134.134:18000/rtp/238.255.2.15:5999$贵州电信
CCTV12,http://121.56.186.21:4022/rtp/239.29.0.120:5000$内蒙古电信
CCTV12,http://113.120.108.164:4000/rtp/239.21.1.156:5002$山东电信
CCTV12,http://123.155.19.237:8888/rtp/233.50.200.21:5140$浙江电信
CCTV12,http://116.233.63.135:5555/udp/239.45.3.10:5140$上海市电信
CCTV12,http://116.233.63.135:5555/udp/239.45.3.124:5140$上海市电信
CCTV12,http://117.88.187.92:8888/rtp/239.49.8.55:9822$江苏电信
CCTV12,http://106.87.49.107:8888/rtp/235.254.198.60:1516$重庆市电信
CCTV12,http://112.254.55.106:22222/udp/239.253.254.235:8000$山东联通
CCTV12,http://122.234.155.78:55555/rtp/233.50.200.21:5140$浙江电信
CCTV12,http://113.25.107.189:10000/rtp/239.1.1.19:8019$山西电信
CCTV13,http://125.80.158.137:7788/rtp/235.254.198.9:1312$重庆市电信
CCTV13,http://61.159.134.134:18000/rtp/238.255.2.16:5999$贵州电信
CCTV13,http://61.159.134.134:18000/rtp/238.255.2.218:5999$贵州电信
CCTV13,http://121.56.186.21:4022/rtp/239.29.1.123:5000$内蒙古电信
CCTV13,http://113.120.108.164:4000/rtp/239.21.2.3:5002$山东电信
CCTV13,http://123.155.19.237:8888/rtp/233.50.200.97:5140$浙江电信
CCTV13,http://116.233.63.135:5555/udp/239.45.0.19:5140$上海市电信
CCTV13,http://117.88.187.92:8888/rtp/239.49.8.109:8000$江苏电信
CCTV13,http://106.87.49.107:8888/rtp/235.254.198.9:1312$重庆市电信
CCTV13,http://112.254.55.106:22222/udp/239.253.254.175:8000$山东联通
CCTV13,http://122.234.155.78:55555/rtp/233.50.200.97:5140$浙江电信
CCTV13,http://113.25.107.189:10000/rtp/239.1.1.20:8020$山西电信
CCTV14,http://125.80.158.137:7788/rtp/235.254.198.61:1520$重庆市电信
CCTV14,http://61.159.134.134:18000/rtp/238.255.2.17:5999$贵州电信
CCTV14,http://121.56.186.21:4022/rtp/239.29.0.121:5000$内蒙古电信
CCTV14,http://113.120.108.164:4000/rtp/239.21.1.157:5002$山东电信
CCTV14,http://123.155.19.237:8888/rtp/233.50.200.103:5140$浙江电信
CCTV14,http://116.233.63.135:5555/udp/239.45.3.125:5140$上海市电信
CCTV14,http://116.233.63.135:5555/udp/239.45.3.23:5140$上海市电信
CCTV14,http://117.88.187.92:8888/rtp/239.49.8.56:9826$江苏电信
CCTV14,http://106.87.49.107:8888/rtp/235.254.198.61:1520$重庆市电信
CCTV14,http://112.254.55.106:22222/udp/239.253.254.236:8000$山东联通
CCTV14,http://122.234.155.78:55555/rtp/233.50.200.103:5140$浙江电信
CCTV14,http://113.25.107.189:10000/rtp/239.1.1.21:8021$山西电信
CCTV15,http://125.80.158.137:7788/rtp/235.254.198.11:1320$重庆市电信
CCTV15,http://61.159.134.134:18000/rtp/238.255.2.18:5999$贵州电信
CCTV15,http://121.56.186.21:4022/rtp/239.29.0.206:5000$内蒙古电信
CCTV15,http://113.120.108.164:4000/rtp/239.21.2.4:5002$山东电信
CCTV15,http://123.155.19.237:8888/rtp/233.50.200.133:5140$浙江电信
CCTV15,http://116.233.63.135:5555/udp/239.45.0.20:5140$上海市电信
CCTV15,http://116.233.63.135:5555/udp/239.45.3.126:5140$上海市电信
CCTV15,http://117.88.187.92:8888/rtp/239.49.0.128:8000$江苏电信
CCTV15,http://106.87.49.107:8888/rtp/235.254.198.11:1320$重庆市电信
CCTV15,http://112.254.55.106:22222/udp/239.253.254.170:8000$山东联通
CCTV15,http://122.234.155.78:55555/rtp/233.50.200.133:5140$浙江电信
